Acronym suggestion	Words used
MAKE	extracted from university theses ; multilingual ; automatic ; keyphrase
STAKED	extracted from university theses ; automatic ; keyphrase ; extraction ; dataset
EMDEN	extracted from university theses ; multilingual ; dataset ; extraction ; novel
TENGKU	extracted from university theses ; extraction ; novel ; generation ; keyphrase
DEEMING	dataset ; extracted from university theses ; extraction ; multilingual ; novel ; generation
GAIDEN	generation ; automatic ; dataset ; extracted from university theses ; novel
MENKEN	multilingual ; extracted from university theses ; keyphrase ; extraction ; novel
DAMAGED	extracted from university theses ; dataset ; multilingual ; automatic ; generation ; extraction
MIDGE	multilingual ; dataset ; generation ; extracted from university theses
AUGMENT	automatic ; generation ; multilingual ; extraction ; novel ; extracted from university theses
GENOVA	extracted from university theses ; generation ; extraction ; novel ; automatic
DIKE	extracted from university theses ; dataset ; keyphrase
MAGNET	multilingual ; generation ; extraction ; novel ; extracted from university theses
GENOA	extracted from university theses ; generation ; extraction ; novel ; automatic
KEANE	keyphrase ; automatic ; novel ; extraction
IKEDA	extracted from university theses ; keyphrase ; extraction ; dataset
MAUDE	extracted from university theses ; multilingual ; automatic ; dataset ; extraction
IMAGED	extracted from university theses ; multilingual ; automatic ; generation ; dataset
GENK	extracted from university theses ; generation ; keyphrase ; extraction
KEYONG	extracted from university theses ; keyphrase ; extraction ; novel ; generation
MAGEE	multilingual ; automatic ; generation ; extracted from university theses
FAKE	extracted from university theses ; automatic ; keyphrase
NEGATE	novel ; extracted from university theses ; generation ; automatic ; extraction
ENDA	extracted from university theses ; dataset ; automatic
GNOME	generation ; novel ; multilingual ; extracted from university theses
MANAGE	extracted from university theses ; multilingual ; novel ; automatic ; generation
MADGE	multilingual ; automatic ; extraction ; dataset ; generation
GRANDE	generation ; automatic ; novel ; dataset ; extraction
MUGABE	extracted from university theses ; multilingual ; generation ; automatic ; extraction
SKAGEN	extracted from university theses ; keyphrase ; generation ; extraction ; novel
KEITA	extracted from university theses ; keyphrase ; extraction ; automatic
